question_id,disease_group,question_type,difficulty,question,ground_truth,expected_behavior,expected_source,note,review_status,validation_status,validation_reason,source_generation,source_group,source_file,chunk_id
Q040,BỆNH DO VIRUS EBOLA,prevention,easy,Vi rút Ebola được phòng ngừa như thế nào tại các cơ sở y tế?,Tại các cơ sở y tế phải thực hiện các phương pháp phòng ngừa chuẩn và phòng ngừa theo đường lây.,answer_from_context,bệnh do virus ebola_text_0012,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh do virus ebola.pdf,bệnh do virus ebola_text_0012
Q041,BỆNH DO VIRUS EBOLA,prevention,easy,Khi vận chuyển người bệnh Ebola cần làm gì để phòng ngừa lây truyền?,Trong trường hợp cần vận chuyển phải sử dụng trang bị phòng hộ cá nhân và xe chuyên dụng.,answer_from_context,bệnh do virus ebola_text_0012,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh do virus ebola.pdf,bệnh do virus ebola_text_0012
Q042,BỆNH SỐT RÉT,prevention,easy,Nên uống thuốc Artemether 40mg — lumefantrin 240mg khi nào để đạt hiệu quả tốt nhất?,Nên uống thuốc ngay sau khi ăn hoặc thức uống có chất béo.,answer_from_context,bệnh sốt rét_text_0049,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh sốt rét.pdf,bệnh sốt rét_text_0049
Q043,SỐT XUẤT HUYẾT DENGUE,symptom,easy,Triệu chứng nào dưới đây là dấu hiệu của xuất huyết niêm mạc?,"Xuất huyết niêm mạc: chảy máu chân răng, mũi, ói máu, tiêu phân đen xuất huyết âm đạo hoặc tiểu máu.",answer_from_context,sốt xuất huyết dengue_text_0176,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0176
Q044,TRUYEN NHIEM 1,definition,easy,Virus cúm A có đặc điểm gì về cấu trúc?,"Virus gây bệnh cúm là Myxovirus influenzae, thuộc họ Orthomyxoviridae, có chứa ARN, sợi đơn, xoắn đối xứng, vỏ ngoài để lộ ra hai kháng nguyên glycoprotein là neuraminidase (NA) và hemagglutinine (HA1-HA2).",answer_from_context,Truyen-nhiem-1_text_0117,,need_review,passed,passed,llm_from_chunk,in_scope_easy,Truyen-nhiem-1.pdf,Truyen-nhiem-1_text_0117
Q045,BỆNH DO VIRUS EBOLA,symptom,easy,Triệu chứng thường gặp của bệnh này bao gồm những gì?,"Các triệu chứng thường gặp bao gồm: sốt cấp tính, đau đầu, đau mỏi cơ, nôn/buồn nôn, tiêu chảy, đau bụng, viêm kết mạc.",answer_from_context,bệnh do virus ebola_text_0004,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh do virus ebola.pdf,bệnh do virus ebola_text_0004
Q046,BỆNH RUBELLA,prevention,easy,"Để phòng bệnh rubella, trẻ em nhiễm bệnh cần hạn chế tiếp xúc với ai trong vòng bao lâu?",Trẻ em nhiễm rubella cần hạn chế tối đa tiếp xúc với phụ nữ có thai và trẻ em khác từ khi sinh ra đến khi trẻ được 1 tuổi.,answer_from_context,bệnh rubella_text_0016,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh rubella.pdf,bệnh rubella_text_0016
Q047,BỆNH RUBELLA,prevention,easy,Trẻ em bị nhiễm rubella cần tránh dùng chung những vật dụng nào với người khác?,"Trẻ em bị nhiễm rubella cần hạn chế sử dụng chung khăn mặt, bàn chải, kính, cốc, chén, bát đũa ... và đồ chơi hoặc đồ vật dễ bị ô nhiễm chất tiết mũi họng.",answer_from_context,bệnh rubella_text_0016,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh rubella.pdf,bệnh rubella_text_0016
Q048,TRUYEN NHIEM 1,symptom,easy,Leptospirosis có biểu hiện như thế nào về mặt triệu chứng?,"Sốt, đau cơ, có thể có phát ban, vàng da, tổn thương phổi, suy thận.",answer_from_context,Truyen-nhiem-1_text_0157,,need_review,passed,passed,llm_from_chunk,in_scope_easy,Truyen-nhiem-1.pdf,Truyen-nhiem-1_text_0157
Q049,BỆNH TAY CHÂN MIỆNG,definition,easy,Khi nào nên ngưng sử dụng Milrinone?,"Nếu huyết áp tam thu < 90 mmHg (tré < 12 tháng), HA tâm thu < 100 mmHg (tré > 12 tháng).",answer_from_context,bệnh tay chân miệng_text_0038,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh tay chân miệng.pdf,bệnh tay chân miệng_text_0038
Q050,BỆNH VIÊM GAN VIRUS C,symptom,easy,Các thuốc ức chế proton và giảm nông độ kháng H2 G/P có tác động như thế nào khi dùng cùng với rosuvastatin?,Rosuvastatin nên giảm liều khi kết hợp với các thuốc ức chế proton và giảm nông độ kháng H2 G/P.,answer_from_context,bệnh viêm gan virus c_text_0071,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh viêm gan virus c.pdf,bệnh viêm gan virus c_text_0071
Q051,SỐT XUẤT HUYẾT DENGUE,prevention,easy,Việc lấy máu tĩnh mạch chi làm xét nghiệm cần phải làm gì sau khi hoàn thành?,"Sau lấy máu, ép chỗ tiêm tĩnh mạch 1-2 phút. Không lấy máu tĩnh mạch đùi.",answer_from_context,sốt xuất huyết dengue_table_p71_1,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_table_p71_1
Q052,SỐT XUẤT HUYẾT DENGUE,symptom,easy,"Khi bệnh nhi có dấu hiệu gì thì cần theo dõi tình trạng ói/nôn máu, tiêu/đi ngoài ra máu?","Báo BS xử trí khi bệnh nhi có ói/nôn máu, tiêu/đi ngoài ra máu, Hct giảm so với những lần trước, tiểu cầu < 50.000/mm3.",answer_from_context,sốt xuất huyết dengue_table_p71_1,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_table_p71_1
Q053,SỐT XUẤT HUYẾT DENGUE,definition,easy,Việc bù đắp điện giải và năng lượng như thế nào là sinh lý nhất theo đoạn văn?,Việc bù đắp điện giải và năng lượng một cách sinh lý nhất là thông qua việc ăn uống.,answer_from_context,sốt xuất huyết dengue_text_0236,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0236
Q054,SỐT XUẤT HUYẾT DENGUE,transmission,easy,Trong trường hợp nào người bệnh cần được bù đắp năng lượng qua đường tĩnh mạch theo đoạn văn?,"Người bệnh cần được bù đắp năng lượng qua đường tĩnh mạch khi thật cần thiết, thường xảy ra trong trường hợp chán ăn hoặc ăn ít không bảo đảm.",answer_from_context,sốt xuất huyết dengue_text_0236,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0236
Q055,SỐT XUẤT HUYẾT DENGUE,prevention,easy,Đoạn văn đề cập đến cách phòng ngừa nguy cơ gì liên quan đến việc ăn uống của người bệnh?,Đoạn văn đề cập đến việc phòng ngừa nguy cơ hạ đường huyết trong trường hợp người bệnh chán ăn hoặc ăn ít không bảo đảm.,answer_from_context,sốt xuất huyết dengue_text_0236,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0236
Q056,SỐT XUẤT HUYẾT DENGUE,definition,easy,Khi nào cần chuyển người bệnh sốt xuất huyết Dengue sang khoa sơ sinh?,"Chuyển khoa sơ sinh khi trẻ có dấu hiệu nặng, suy hô hấp.",answer_from_context,sốt xuất huyết dengue_text_0107,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0107
Q057,SỐT XUẤT HUYẾT DENGUE,symptom,easy,"Trong bao lâu cần theo dõi mạch, huyết áp, nhịp thở ở người bệnh sốc?","Khi đang có sốc cần theo dõi mạch, huyết áp, nhịp thở từ 15 - 30 phút/lần (ở trẻ em); 30 - 60 phút/lần ở người lớn.",answer_from_context,sốt xuất huyết dengue_text_0107,,need_review,passed,passed,llm_from_chunk,in_scope_easy,sốt xuất huyết dengue.pdf,sốt xuất huyết dengue_text_0107
Q058,TRUYEN NHIEM 1,cause,easy,Nguyên nhân gây nhiễm trùng da và mô mềm thường gặp là gì?,"Các vi khuẩn như Staphylococcus aureus, Pseudomonas aeruginosa, các chủng Enterococcus, Escherichia coli, các chủng Enterobacter, các chủng Klebsiella, Beta-hemolytic Streptococcus, Proteus mirabilis và Staphylococcus không sinh Coagulase.",answer_from_context,Truyen-nhiem-1_text_0164,,need_review,passed,passed,llm_from_chunk,in_scope_easy,Truyen-nhiem-1.pdf,Truyen-nhiem-1_text_0164
Q059,DỊCH CÚM A,definition,easy,Vi rút cum A(H7N9) được giám sát như thế nào?,"Tăng cường giám sát, xét nghiệm để xác định sự lưu hành, biến đổi, mức độ lây lan vi rút cum A(H7N9).",answer_from_context,dịch cúm A_text_0028,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0028
Q060,DỊCH CÚM A,prevention,easy,Các biện pháp phòng chống dịch bệnh cần được cập nhật như thế nào?,"Thường xuyên cập nhật các thông tin, sửa đổi các thông điệp truyền thông, khuyến cáo phòng chống dịch cho phù hợp với các đối tượng nguy cơ.",answer_from_context,dịch cúm A_text_0028,,need_review,passed,passed,llm_from_chunk,in_scope_easy,dịch cúm A.pdf,dịch cúm A_text_0028
Q061,BỆNH TAY CHÂN MIỆNG,definition,easy,ECMO được chỉ định khi nào trong trường hợp tay chân miệng độ IV thất bại sau 6 - 12 giờ?,"ECMO được chỉ định khi lọc máu: huyết động chưa ổn định, liều thuốc van mach cao (VIS > 50), EF < 30%, chỉ số tim thấp, men tim tăng cao, toan chuyền hoá kéo dài pH < 7,15; lactate máu > Smmol/L.",answer_from_context,bệnh tay chân miệng_text_0047,,need_review,passed,passed,llm_from_chunk,in_scope_easy,bệnh tay chân miệng.pdf,bệnh tay chân miệng_text_0047
